team;short;league;tackles;challenges;interceptions;fouls;clearances;blocked_shots;passes;chances_openplay;crosses;long_balls;through_balls;shots_outbox;shots_inbox;dribbles;aerials;fouled
AC Milan;MIL;Serie A;18.35294118;25.64705882;19.23529412;15.70588235;23.11764706;2.705882353;416.2352941;10.35294118;18.58823529;66.47058824;0.529411765;6.588235294;7.882352941;17.52941176;26.76470588;16.64705882
ADO Den Haag;ADH;Eredivisie;17.05882353;24.76470588;18.52941176;14;25.76470588;2.705882353;353.6470588;7.235294118;24.35294118;73.41176471;0.117647059;4.647058824;7;12;30.11764706;14.58823529
Ajax;AJA;Eredivisie;16.41176471;22.17647059;16.52941176;12.23529412;16.58823529;2.529411765;489.5882353;11.11764706;22.11764706;67.41176471;0.529411765;5.941176471;9.470588235;18.94117647;30.94117647;12.47058824
Akhisar Belediyespor;AKH;Super Lig;16.9375;23.3125;22.75;18;24.6875;2.6875;412.5625;6.5;16.25;68;0.375;4.8125;4.4375;9.6875;29.9375;14.9375
Amkar;AMK;Russian PL;18.44444444;24.5;17.27777778;18;22.94444444;3.555555556;355.7777778;7.222222222;19.77777778;71.11111111;0.222222222;5.5;4.944444444;11.5;33.5;11.66666667
Angers;ANG;Ligue 1;17.73684211;26.63157895;15.05263158;14;19.31578947;3.210526316;388.4210526;7;18.21052632;58.68421053;0.052631579;4.842105263;5.736842105;15.94736842;32.31578947;11.15789474
Anzhi Makhachkala;ANZ;Russian PL;18.38888889;25.27777778;18.05555556;16.55555556;23.27777778;3.166666667;345.8888889;9.166666667;16.11111111;65.72222222;0.333333333;5.833333333;6.555555556;16.5;34.11111111;15.05555556
Arsenal;ARS;Premier League;20.0625;30.25;18.875;8.9375;23;2.5625;568.1875;12.8125;19.5625;48.5625;1.3125;4.8125;11.9375;19.4375;27.9375;12
Aston Villa;AVL;Premier League;18.47058824;26.64705882;20.29411765;11.47058824;25.11764706;3.470588235;412.2941176;7.411764706;19.94117647;65.23529412;0.117647059;5.294117647;5.588235294;26.17647059;36.47058824;9.705882353
Atalanta;ATA;Serie A;23.94117647;34.41176471;19.82352941;16.41176471;19.23529412;2.882352941;400.3529412;8.529411765;23.11764706;70.29411765;0.176470588;5.588235294;5.823529412;12.94117647;30.29411765;15.47058824
Athletic Club;ATH;La Liga;20.9375;30.875;19.25;13.1875;20.4375;2.875;397.9375;7.5;24.5625;73.4375;0.875;4.5;7.8125;13.8125;42.125;13.9375
Atletico Madrid;ATM;La Liga;24.1875;32.9375;19.875;13.375;21.125;2.75;486.5625;9.8125;19.9375;57.8125;0.75;5.25;7.375;21.6875;33.1875;11.6875
Atletico MG;AMG;Brasileirao;20.97368421;28.63157895;12.89473684;12.68421053;16.21052632;2.105263158;504.3421053;11.02631579;27.78947368;61.26315789;0.473684211;5.210526316;9.131578947;14.44736842;27.05263158;11.71052632
Atletico PR;APR;Brasileirao;20.28947368;27.84210526;14.44736842;15.21052632;18.13157895;3;421.1842105;9.657894737;21.97368421;56.13157895;0.184210526;7.078947368;6.052631579;16.71052632;23.86842105;10.68421053
